,title,tags,primaryTopic,brief,description,address,city,website,latitude,longitude
0,Ausbildung zum Glas- und Gebäudereiniger/in,"['Jung', 'Hintergrund der Behinderung', 'Reinickendorf', 'Bildungszentrum', 'Rollstuhl', 'Deutsch', 'o ri inggmh', 'Bildung', 'Arbeit', 'Dienst']",Arbeit,von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung,"Die integra gGmbH bietet die Möglichkeit einer dualen Ausbildung zum Glas- und Gebäudereiniger/in.
Glas- und Gebäudereiniger/innen sind für die Unterhaltsreinigung und zahlreiche weitere Bereiche zuständig. Sie säubern Schreibtische, Schränke und Böden, saugen die Teppiche, leeren Abfalleimer, reinigen die sanitären Anlagen und vieles mehr.
Gebäudereiniger/in ist ein von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung, für den viele spezielle Fachkenntnisse von Nöten sind. Dabei geht es um weitaus mehr als um Sauberkeit, vielmehr geht es um Hygiene.
Für die Ausbildung wird mindestens die erweiterte Berufsbildungsreife (eBBR) benötigt. Besser ist ein mittlerer Schulabschluss (MSA). Gerade aufgrund der häufig wechselnden Einsatzorte als Glas- und Gebäudereiniger/in ist ein Führerschein unbedingt sinnvoll. (Wir unterstützen Sie bei der Finanzierung der Fahrerlaubnis B). Mehr zu dem Berufsbild und der Ausbildung erfahren Sie direkt bei integra.",Lengeder Straße 48,Berlin,https://www.integra-berlin.de/ausbildung/glas-und-gebaeudereiniger-in/,52.5826566,13.3581692
1,Seidenmalerei,"['Friedrichshain Kreuzberg', 'Tagungszentrum', 'Rollstuhl', 'Deutsch', 'o ri integral', 'Geisteswissenschaften', 'Erholung', 'Dienst']",Geisteswissenschaften,Seidenmalerei für alle,"Seidenmalerei macht sehr viel Spaß. Die schönsten Effekte kannst du erzielen, wenn du die Farben ineinander laufen lässt. Durch eine Vielzahl an Farbkombinationen gibt es hier nahezu unendliche Möglichkeiten.
Du kannst frei gestalten oder unter Anleitung deine Motive seidig glänzend darstellen. Die Kurse werden im Integral Begegnungszentrum angeboten. Die offenen Kursangebot sind das Herzstück unserer Arbeit. Die Kurse finden in unseren rollstuhlgerechten Räumen statt und die Arbeitsräume sind entsprechend den Kursinhalten ausgestattet. Geleitet werden die Angebote von unseren Mitarbeitenden und ehrenamtlichen Helfer*innen. Es ist keine Anmeldung nötig und die Kurse stehen allen Menschen offen. Die Teilnahme an einem Kurs kostet 1,00 € und es können noch Materialkosten anfallen.

Du möchtest mit uns reden? Ruf uns an! Montag bis Freitag sind wir von 10.00 – 13.00 Uhr erreichbar. Unsere Telefonnummer ist 030 296 09 68",Marchlewskistraße 25e,Berlin,https://www.integral-berlin.de/integral/begegnungszentrum/offene-freizeitangebote/,52.51514719999999,13.4437045
2,Advent-Wohlfahrtswerk Seniorenheim Steglitz gGmbH,"['Deutsch', 'Senioren', 'Steglitz Zehlendorf', 'Rollstuhl', 'Altersheim', 'Gehäuse', 'o ri advwss', 'Dienst']",Gehäuse,"modernes Seniorenheim für pflegebedürftige Menschen, im Herzen von Steglitz","Unser 2003 errichtetes, modernes Seniorenheim liegt im Herzen von Steglitz, unweit des Botanischen Gartens, der somit ein beliebtes Ausflugsziel für unsere Bewohner darstellt.

Pflegebedürftige Menschen finden bei uns ein freundliches und liebevolles Zuhause. Mit 42 Einbett- und 6 Zweibettzimmern bietet das Heim eine familiäre, sehr persönliche Atmosphäre, wo Anonymität ein Fremdwort ist und eine enge Beziehung zwischen dem Personal und den Bewohnern bzw. deren Angehörigen und Betreuern besteht.

Auf unserem Gelände befindet sich eine sehr schöne Gartenanlage mit kleinem Teich, Sitzmöglichkeiten, Sonnenschirmen und Rabatten, was unwillkürlich zum Verweilen an der frischen Luft einlädt.",Grunewaldstraße 39,Berlin,https://seniorenheim-steglitz.de/,52.4598545,13.3104025
3,KIDZ United – Wir VEREINen!,"['Deutsch', 'Jung', 'Tempelhof Schoeneberg', 'Jugendeinrichtung', 'Sport', 'Erholung', 'o ri kidzev', 'Dienst']",Sport,wöchentlich stattfindendes Fußballtraining für Jungs zwischen 9 und 12 Jahren,"Durch das Training und die Begleitung durch Pädagogen zu Vereinen wird an folgenden Zielen gearbeitet:

* Verselbstständigung der Kinder
* Umgang mit Frust
* Teamfähigkeit
* Erfolgserfahrungen
* Steigerung des Selbstbewusstseins
* Aktivierung von Eltern
* Verbesserung der sportlichen Fähigkeiten
* und vieles mehr…

Durch intensive Elternarbeit, Kontaktaufbau zu Fußballvereinen, Wegetraining und Trainingsbegleitung, aber auch ein wöchentlich stattfindendes Training schafft KIDZ United eine Brücke zwischen Straßen- und Vereinsfußball. Anfänglich ehrenamtlich von KIDZ e.V. angeboten wird das Projekt nun von der DFL Stiftung finanziert. Das Training wird durch zwei Pädagogen begleitet, welche mit den Kindern während des Sports an wichtigen Schlüsselqualifikationen, wie zum Beispiel den Umgang mit Frust, arbeiten",Lützowstraße 83-85,Berlin,https://www.kidz-mitte.de/project/kidz-united-wir-vereinen/,52.5030147,13.3627766
4,Medienkompetenz für Alle!,"['Frauen', 'Jung', 'Friedrichshain Kreuzberg', 'Mehrgenerationenhaus', 'Deutsch', 'o ri formatwe', 'Bildung', 'Nachbarschaft', 'Erholung', 'Dienst']",Bildung,"Offene Frauen-Computer-Werkstatt Hilfe zu Homeschooling, Videokonferenzen, Social Media","Die Teilnehmer\*innen lernen die Grundlagen des Computers (Bildschirm, Maus, Tastatur) und den Umgang mit Ordnerstrukturen und Dateien kennen. Sie erstellen mit Hilfe von Open Office kleine Texte für ihre eigenen Bedürfnisse.
Darüber hinaus werden sie zur Internetrecherche angeleitet, in die digitale Kommunikation (Videokonferenzen) z.B. mit Zoom und Jitsi eingeführt und lernen mit digitalen Arbeits-Plattformen, wie der Anton App oder dem Berliner Lernraum im Rahmen des Homeschooling umzugehen.1 x in der Woche Computer-Werkstatt, sowie begleitete Online-Learning – Angebote.  Werkstätten für Anfänger\*innen und Fortgeschrittene. Das Projekt wird von Formatwechsel e.V. in Kooperation mit dem Mehrgenerationenhaus Wassertor e.V. angeboten. Gefördert durch das Bezirksamt Friedrichshain-Kreuzberg.",Wassertor Straße 48,Berlin,https://www.formatwechsel-berlin.de/offene-computer-werkstatt-medienkompetenz-fuer-alle/,52.5004472,13.4055844
5,Sprachcafé im Stadtteilzentrum Campus Kiezspindel,"['Deutsch', 'Fluchthintergrund', 'Treptow Koepenik', 'o ri offint', 'Bildung', 'Nachbarschaft', 'Erholung', 'Dienst']",Bildung,"Sprachcafé für alle, Deutsch-Lernen","Wir laden Deutsch-Lernende und Deutsch-Muttersprachler:innen ein: Jeden 2. und 4. Mittwoch treffen wir uns von 18:30 bis 21:00 Uhr zum gemeinsamen Deutschsprechen auf dem Campus Kiezspindel.
Außerdem  machen wir jedes Mal zusammen Kunst. Von Guy wir lernen verschiedene einfache Techniken, um sich auszudrücken: Collagen, Postkarten, Zeichnen, Arbeit mit Farben, ... Jedes Mal gibt es ein Thema, zu dem wir uns unterhalten. Ihr könnt aber auch zusammen für Prüfungen lernen oder den Raum nutzen, Euch mit Freund:innen zu treffen. EIn Projekt von Campus Kiezspindel, Offensiv 91 und interaxion. Gefördert vom Bezirksamt Treptow-Köpenick",Rudower Straße 37,Berlin,http://interaxion-tk.de/index.php/de/blog/teilhabe-und-begegnung/284-sprachcafe-auf-dem-campus-kiezspindel-2-und-4-mittwoch-im-monat,52.4437778,13.5641841
6,Mukoviszidose Kontakt- und Beratungsstelle,"['Deutsch', 'Pankow', 'Beratungsstelle', 'Gesundheit', 'Beratung', 'o ri muklbb', 'Dienst']",Beratung,kostenfreie Beratung rund um das Thema Mukovisizidose,"Wir bieten psychosoziale und soziale Beratung. Unser Angebot richtet sich an:
* Patient\*innen
* Eltern
* Partner\*innen
* Geschwister
* alle weiteren Angehörigen von mukoviszidoseerkrankten Menschen

Weiterhin beraten wir Fachkräfte zum Beispiel aus Kitas, Schulen oder anderen sozialen Einrichtungen. Auch stehen wir gern Arbeitgeber\*innen für Gespräche und zur Informationsvermittlung zur Verfügung.
In unseren Beratungen arbeiten wir ressourcenorientiert und beziehen immer die vorhandenen Ressourcen der Ratsuchenden mit ein bzw. unterstützen wir durch das Aufzeigen möglicher Ressourcen.
Für uns ist das Leitbild der Selbsthilfe und der Selbstbestimmung der Ratsuchenden handlungsleitend. Ziel ist es, Hilfe zur Selbsthilfe zu bieten. Wir verstehen uns als Begleiterinnen und Unterstützerinnen. Allein die Beratungsnutzer\*innen bestimmen das Ziel und den Weg. Nichts geschieht ohne die Einwilligung der Beratungsnutzer\*innen. Eine notwendige Kommunikation mit Dritten erfolgt nur gemeinsam mit den Ratsuchenden.
Gespräche werden selbstverständlich vertraulich behandelt: „Nichts verlässt den Raum“.",Rykestraße 25,Berlin,https://muko-berlin-brandenburg.de/,52.53847829999999,13.4224882
7,Betreutes Übergangswohnen,"['Deutsch', 'obdachlos', 'Lichtenberg', 'Notunterkunft', 'Gehäuse', 'o ri cardie', 'Ort']",Gehäuse,Übergangswohnen in Neukölln und Lichtenberg,"Wir helfen Mensch, bei denen besondere Lebensverhältnisse mit sozialen Schwierigkeiten verbunden sind und die aus eigener Kraft nicht in der Lage sind, ihre sozialen Schwierigkeiten selbst zu überwinden. In unseren Übergangshäusern in Neukölln und Lichtenberg stehen 28 bzw. 15 möblierte Einzelzimmer zur Verfügung (BÜW). Die sozialpädagogische Unterstützung erfolgt in den Lebensbereichen Wohnen, wirtschaftliche Verhältnisse, Arbeit/Qualifikation, rechtliche und soziale Situation sowie Gesundheit durch entsprechende Beratung und Anleitung. Es besteht die Möglichkeit, zu Ämtern und Behörden begleitet zu werden. Das Team von Carpe Diem heißt Sie bereits heute recht herzlich willkommen.",Alt-Friedrichsfelde 93,Berlin,http://carpe-diem-berlin.de/,52.510283,13.5166743
8,Queeres Jugendzentrum,"['Jung', 'queer', 'Pankow', 'Deutsch', 'Jugendeinrichtung', 'Dienst', 'Sport', 'Geisteswissenschaften', 'Erholung', 'o ri jugberbr']",Erholung,queeres Jugendzentrum für junge Menschen zwischen 14 und 27 Jahren,"Das erste landesweite queere Jugendzentrum in Berlin für junge Lesben, Schwule, Bi-, Trans*, Inter* und Queers zwischen 14 und 27 Jahren sowie für interessierte Jugendliche inklusive Jugendcafé, Beratungsmöglichkeiten, Jugendgruppen und -projekten.
Beratung
Stress zu Hause? Liebeskummer? Fragen dazu, was es für Angebot für queere jugendliche in Berlin gibt? Mach gerne einen Termin unter beratung (at) lambda-bb.de aus und komm zu einem Gespräch vorbei.
<br><br>Gruppen<br>
Es wird neue Gruppenangebote geben, die ihr demnächst, wie die anderen Jugendruppen unter unserem Menüpunkt Jugendgruppen finden werdet. Neben den Jugendgruppen wollen wir auch ein Eltern- und Angehörigenangebot schaffen. Die Termin werden wir auf unserer Homepage bekannt geben.
Freizeitgestaltung
Als Jugendzentrum können wir vermehrt Freizeitangebote schaffen, die ihr über die Website und natürlich auch auf unserer Facebookseite erfahren könnt.",Sonnenburger Straße 69,Berlin,https://www.lambda-bb.de/,52.548309,13.4070771
9,"Selbsthilfe-, Kontakt- und Beratungsstelle Marzahn-Hellersdorf","['Marzahn Hellersdorf', 'Selbsthilfe-Anlaufstelle', 'o ri wuhpsyze', 'Gesundheit', 'Beratung', 'Nachbarschaft', 'Dienst', 'Englisch', 'Russisch']",Beratung,"Selbsthilfegruppen, Beratung und Informationsvermittlung","Der Treffpunkt von Selbsthilfegruppen in Marzahn-Hellersdorf mit Erfahrungsaustausch und Informationsvermittlung, Unterstützung der Selbsthilfestrukturen, Clearing und Beratung rund um die Möglichkeiten der Selbsthilfe, Informationsveranstaltungen, Ehrenamt, Fachbücherei sowie Fortbildung und Soziale Begegnung in unserem Kontaktcafe.",Alt Marzahn 59A,Berlin,https://wuhletal.de/angebote/hilfe-zur-selbsthilfe/selbsthilfe-kontakt-und-beratungsstelle/,52.5429695,13.5621198
